"province","zone_sante","annee","dtc1_vaccinated","survivants_admin","cv_dtc1_admin","survivants_ecv","cv_dtc1_ecv","variation_ecv_dtc1","survivants_ihme","cv_dtc1_ihme","variation_ihme_dtc1","naiss_dhis2","naiss_ecv","bcg","variation_bcg","pop_adj","bcg_adj","bcg_eds","bcg_eds_2024","pop_adj_2024","bcg_eds_2024_2025","pop_adj_2024_2025"
"tshopo","bafwagbogbo",2023,10204,10808,0.9441154700222057,19585.412667946257,0.521,-0.8121218234591281,13753.370320508126,0.741927233994744,-0.27251760922540025,3448,15262.645914396886,7845,-0.2320508487566101,12969.6,7845,13682.928,14093.41584,13358.688,14516.2183152,13759.44864
"tshopo","bafwasende",2023,2699,3009,0.8969757394483217,6938.303341902313,0.389,-1.3058502299442716,5343.814259096464,0.505069949878151,-0.7759435889320254,4148,3857.456140350877,1759,-0.11875178084422185,3610.8,4640.582386941832,3809.3940000000002,3923.6758200000004,3719.1240000000003,4041.3860946000004,3830.6977200000006
"tshopo","banalia",2023,3207,3620,0.8859116022099448,4987.55832037325,0.643,-0.3777785415395719,6628.383284526917,0.483828388060527,-0.8310451062229053,7112,6774.774774774774,3008,-0.6332629640247769,4344,8534.4,4582.92,4720.4076000000005,4474.32,4862.019828,4608.549599999999
"tshopo","basali",2023,5353,6206,0.8625523686754754,9407.732864674868,0.569,-0.515909259535106,14703.130549376156,0.364072126138275,-1.3691799144982526,4717,7007.009345794393,2999,0.014762465439483537,7447.2,4717,7856.796,8092.49988,7670.616,8335.2748764,7900.73448
"tshopo","basoko",2023,4273,4116,1.0381438289601554,13565.079365079366,0.315,-2.295694695111605,13061.63231376972,0.327141347831033,-2.1733800567953643,8426,8417.827298050139,3022,-0.7845722488976339,4939.2,10111.2,5210.856,5367.18168,5087.376,5528.1971304,5239.9972800000005
"tshopo","bengamisa",2023,6302,7352,0.8571817192600653,20263.665594855305,0.311,-1.756211315948763,18316.82395875068,0.344055280227186,-1.4914069584807779,5807,7466.216216216217,4420,0.11390740372463604,8822.4,5145.539706571039,9307.632,9586.86096,9087.072,9874.4667888,9359.68416
"tshopo","isangi",2023,5012,5067,0.9891454509571739,7782.608695652174,0.644,-0.5359401412378476,12816.176169339073,0.39106828228458,-1.5293420503925543,8218,5964.963503649635,4086,-0.027202256526542918,6080.4,8218,6414.821999999999,6607.266659999999,6262.812,6805.4846597999995,6450.69636
"tshopo","kabondo",2023,5634,7170,0.7857740585774059,8654.377880184331,0.651,-0.207026203651929,14544.183661474997,0.387371345902588,-1.0284774981136677,8436,4818.604651162791,3108,0.4136523909512301,8604,6748.8,9077.22,9349.5366,8862.12,9630.022697999999,9127.983600000001
"tshopo","lowa",2023,7567,7360,1.028125,9423.412204234122,0.8029999999999999,-0.28035491905354926,12310.53603178624,0.614676727354661,-0.672627178231826,6564,7501.282051282051,5851,0.11080108448529506,8832,5851,9317.76,9597.292800000001,9096.960000000001,9885.211584,9369.868800000002
"tshopo","lubunga",2023,4937,5727,0.8620569233455562,10285.416666666668,0.4799999999999999,-0.7959519236365755,13771.60167338666,0.358491344513736,-1.404679880109422,7555,12069.49806949807,3126,-0.8387413268583287,6872.4,9066,7250.382,7467.89346,7078.572,7691.930263800001,7290.929160000001
"tshopo","makiso_kisangani",2023,5693,6592,0.863622572815534,14340.050377833752,0.397,-1.1753717199383724,10440.944695332653,0.54525717414679,-0.5838811734424535,15148,9751.07296137339,4544,-0.29067808886477686,7910.4,18177.6,8345.472,8595.83616,8147.7119999999995,8853.7112448,8392.14336
"tshopo","mangobo",2023,15235,13216,1.1527693704600483,20313.333333333332,0.75,-0.5370258272800644,25109.607457773916,0.606739871406602,-0.8999400316112225,10580,18271.448663853727,12991,-0.2061954491585508,15859.2,12991,16731.456000000002,17233.399680000002,16334.976,17750.401670400002,16825.02528
"tshopo","opala",2023,8476,9231,0.9182103780738815,10224.366706875755,0.829,-0.10761203627729986,13915.965594831918,0.609084575715522,-0.5075252513088417,6589,7802.8004667444575,6687,0.26249522998634617,10224.366706875755,6687,10786.706875753922,11110.30808202654,10531.097708082028,11443.617324487337,10847.03063932449
"tshopo","opienge",2023,5654,5749,0.9834753870238302,16483.965014577258,0.343,-1.867275180827493,12945.243485734361,0.436762738856994,-1.2517382998320337,3158,9446.06413994169,3240,-0.43361119137072257,6898.8,3789.6,7278.234,7496.5810200000005,7105.764,7721.4784506000005,7318.93692
